Date,Province,District,Type,Occurred,Alerts,Month,Week,Alert Outcome
2025-08-04,Punjab,,Flood,1,1,2025-08,2025-08-04/2025-08-10,True Positive
2025-08-04,Potohar Region,,Rain,1,1,2025-08,2025-08-04/2025-08-10,True Positive
2025-08-01,Potohar Region,,Rain,1,1,2025-08,2025-07-28/2025-08-03,True Positive
2025-08-01,Punjab,,Rain,1,1,2025-08,2025-07-28/2025-08-03,True Positive
2025-07-31,KPK,,Rain,1,1,2025-07,2025-07-28/2025-08-03,True Positive
2025-07-31,KPK,,Rain,1,1,2025-07,2025-07-28/2025-08-03,True Positive
2025-07-30,Punjab,,Rain,1,1,2025-07,2025-07-28/2025-08-03,True Positive
2025-07-30,Punjab,,Flood,0,1,2025-07,2025-07-28/2025-08-03,False Positive
2025-07-30,GB & KPK,,GLOF,1,1,2025-07,2025-07-28/2025-08-03,True Positive
2025-07-30,KPK,,Rain,1,1,2025-07,2025-07-28/2025-08-03,True Positive
2025-07-29,Punjab,,Rain,1,1,2025-07,2025-07-28/2025-08-03,True Positive
2025-07-29,KPK,,Rain,1,1,2025-07,2025-07-28/2025-08-03,True Positive
2025-07-28,Punjab,,Rain,1,1,2025-07,2025-07-28/2025-08-03,True Positive
2025-07-28,KPK,,Flash Flood,1,1,2025-07,2025-07-28/2025-08-03,True Positive
2025-07-28,Punjab,,Flood,1,1,2025-07,2025-07-28/2025-08-03,True Positive
2025-07-28,GB & AJK,,Flash Flood,1,1,2025-07,2025-07-28/2025-08-03,True Positive
2025-07-27,Punjab,,Rain,1,1,2025-07,2025-07-21/2025-07-27,True Positive
2025-07-24,KPK,,Rain,1,1,2025-07,2025-07-21/2025-07-27,True Positive
